"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 17, 2016","214.06","213.05","215.00","212.05","1.02M","0.93%"
"Jun 20, 2016","214.95","212.22","215.66","211.08","774.40K","0.42%"
"Jun 21, 2016","214.03","215.60","215.81","213.24","600.21K","-0.43%"
"Jun 22, 2016","215.74","214.03","216.36","213.00","1.07M","0.80%"
"Jun 23, 2016","222.35","215.60","223.00","215.53","1.70M","3.06%"
"Jun 24, 2016","215.99","215.00","217.40","208.41","2.76M","-2.86%"
"Jun 27, 2016","215.26","215.60","218.20","214.46","1.26M","-0.34%"
"Jun 28, 2016","213.83","216.80","216.80","212.56","725.98K","-0.66%"
"Jun 29, 2016","214.70","214.22","216.76","214.00","526.65K","0.41%"
"Jun 30, 2016","221.30","214.91","222.19","214.91","1.43M","3.07%"
"Jul 01, 2016","225.98","221.96","226.80","221.35","1.08M","2.11%"
"Jul 04, 2016","223.86","226.41","228.05","223.00","810.05K","-0.94%"
"Jul 05, 2016","225.11","223.80","226.25","222.70","784.13K","0.56%"
"Jul 07, 2016","222.44","225.04","226.00","222.10","472.46K","-1.19%"
"Jul 08, 2016","223.82","222.44","224.75","221.59","509.88K","0.62%"
"Jul 11, 2016","228.54","226.40","229.72","226.40","636.47K","2.11%"
"Jul 12, 2016","230.75","229.40","231.19","227.75","532.85K","0.97%"
"Jul 13, 2016","229.48","230.60","230.60","227.70","421.62K","-0.55%"
"Jul 14, 2016","233.85","229.48","234.25","229.00","739.89K","1.90%"
"Jul 15, 2016","235.79","233.85","237.13","232.31","707.80K","0.83%"
"Jul 18, 2016","234.95","236.43","236.96","234.14","386.00K","-0.36%"
"Jul 19, 2016","230.72","234.00","234.15","228.72","552.57K","-1.80%"
"Jul 20, 2016","232.29","230.40","233.70","229.80","390.47K","0.68%"
"Jul 21, 2016","230.90","232.04","233.95","230.05","391.50K","-0.60%"
"Jul 22, 2016","231.67","230.15","233.25","229.80","394.55K","0.33%"
"Jul 25, 2016","236.50","232.00","237.95","229.55","773.31K","2.08%"
"Jul 26, 2016","240.05","236.40","242.01","235.62","1.13M","1.50%"
"Jul 27, 2016","240.02","241.00","242.80","235.25","2.93M","-0.01%"
"Jul 28, 2016","244.11","241.90","245.33","240.61","1.44M","1.70%"
"Jul 29, 2016","243.44","245.00","247.18","241.60","831.78K","-0.27%"
"Aug 01, 2016","244.29","244.00","246.85","240.68","497.09K","0.35%"
"Aug 02, 2016","245.70","245.80","248.80","244.63","659.05K","0.58%"
"Aug 03, 2016","246.99","246.00","248.67","243.60","674.44K","0.53%"
"Aug 04, 2016","245.90","248.89","249.00","244.12","563.77K","-0.44%"
"Aug 05, 2016","251.64","246.80","252.00","246.80","1.00M","2.33%"
"Aug 08, 2016","252.87","253.80","253.80","251.16","413.19K","0.49%"
"Aug 09, 2016","251.88","253.40","253.40","250.20","570.92K","-0.39%"
"Aug 10, 2016","252.96","250.26","253.62","249.50","501.47K","0.43%"
"Aug 11, 2016","250.53","253.60","253.60","247.40","824.19K","-0.96%"
"Aug 12, 2016","258.20","251.40","258.80","250.86","1.11M","3.06%"
"Aug 16, 2016","258.98","259.70","262.86","258.44","772.86K","0.30%"
"Aug 17, 2016","261.59","259.38","261.93","257.05","767.78K","1.01%"
"Aug 18, 2016","264.11","261.00","264.94","261.00","454.12K","0.96%"
"Aug 19, 2016","267.33","264.80","267.80","263.42","749.44K","1.22%"
"Aug 22, 2016","268.66","264.41","269.80","264.41","530.62K","0.50%"
"Aug 23, 2016","268.42","269.20","270.18","267.30","592.16K","-0.09%"
"Aug 24, 2016","267.71","268.42","268.70","266.05","520.72K","-0.26%"
"Aug 25, 2016","268.73","267.59","269.94","267.45","1.63M","0.38%"
"Aug 26, 2016","265.25","268.80","269.09","263.90","637.60K","-1.29%"
"Aug 29, 2016","267.46","264.82","267.95","263.58","481.99K","0.83%"
"Aug 30, 2016","271.01","268.00","274.79","268.00","858.57K","1.33%"
"Aug 31, 2016","272.56","271.76","275.00","268.40","723.22K","0.57%"
"Sep 01, 2016","273.13","273.30","275.38","272.30","590.92K","0.21%"
"Sep 02, 2016","277.50","273.03","278.76","272.58","562.35K","1.60%"
"Sep 06, 2016","288.18","278.00","289.80","278.00","1.19M","3.85%"
"Sep 07, 2016","281.08","290.00","290.00","278.49","1.29M","-2.46%"
"Sep 08, 2016","266.13","278.00","278.05","265.00","2.33M","-5.32%"
"Sep 09, 2016","255.45","252.00","263.00","250.07","8.51M","-4.01%"
"Sep 12, 2016","241.07","250.87","250.99","239.61","3.32M","-5.63%"
"Sep 14, 2016","250.68","240.80","251.35","240.74","2.75M","3.99%"
"Sep 15, 2016","244.36","248.60","248.60","241.20","2.01M","-2.52%"
"Sep 16, 2016","233.67","247.00","247.90","231.80","5.10M","-4.37%"
"Sep 19, 2016","235.61","233.00","238.69","231.20","2.61M","0.83%"
"Sep 20, 2016","240.91","237.80","242.43","234.60","2.01M","2.25%"
"Sep 21, 2016","243.54","243.38","245.36","241.80","5.20M","1.09%"
"Sep 22, 2016","249.25","248.40","251.93","246.12","2.29M","2.34%"
"Sep 23, 2016","246.48","249.40","249.78","245.40","847.38K","-1.11%"
"Sep 26, 2016","247.20","244.00","248.38","243.83","976.09K","0.29%"
"Sep 27, 2016","249.25","248.02","250.33","247.71","675.56K","0.83%"
"Sep 28, 2016","253.70","249.30","254.60","249.20","1.46M","1.79%"
"Sep 29, 2016","246.11","255.20","260.80","245.00","2.83M","-2.99%"
"Sep 30, 2016","250.85","246.80","251.75","242.71","1.32M","1.93%"
"Oct 03, 2016","254.22","253.41","256.63","253.00","698.59K","1.34%"
"Oct 04, 2016","256.68","255.40","258.00","254.10","989.20K","0.97%"
"Oct 05, 2016","255.80","257.60","259.40","253.34","676.23K","-0.34%"
"Oct 06, 2016","256.05","245.80","259.00","245.80","2.84M","0.10%"
"Oct 07, 2016","255.02","255.00","256.93","253.28","694.69K","-0.40%"
"Oct 10, 2016","255.89","255.20","257.80","254.90","412.06K","0.34%"
"Oct 13, 2016","251.00","253.80","256.52","247.05","1.05M","-1.91%"
"Oct 14, 2016","251.99","252.02","253.50","248.80","782.08K","0.39%"
"Oct 17, 2016","250.17","252.20","253.50","248.60","687.51K","-0.72%"
"Oct 18, 2016","258.26","251.60","259.26","251.40","1.06M","3.23%"
"Oct 19, 2016","258.37","259.00","261.65","255.75","1.53M","0.04%"
"Oct 20, 2016","261.76","260.00","264.60","259.70","3.23M","1.31%"
"Oct 21, 2016","263.41","263.20","263.97","259.60","1.55M","0.63%"
"Oct 24, 2016","261.75","263.60","265.50","261.02","960.60K","-0.63%"
"Oct 25, 2016","261.57","260.20","262.37","259.77","728.21K","-0.07%"
"Oct 26, 2016","257.76","259.00","262.59","256.60","1.50M","-1.46%"
"Oct 27, 2016","250.85","258.40","259.80","248.51","1.08M","-2.68%"
"Oct 28, 2016","254.38","253.00","255.50","251.65","1.09M","1.41%"
"Oct 30, 2016","253.52","255.36","256.00","252.26","115.04K","-0.34%"
"Nov 01, 2016","249.91","255.00","255.00","249.26","575.42K","-1.42%"
"Nov 02, 2016","242.16","248.03","248.03","240.20","769.41K","-3.10%"
"Nov 03, 2016","241.47","241.22","249.40","238.62","862.03K","-0.28%"
"Nov 04, 2016","239.28","241.80","242.99","234.88","931.52K","-0.91%"
"Nov 07, 2016","241.19","241.00","246.35","240.58","720.07K","0.80%"
"Nov 08, 2016","244.79","242.02","247.14","239.40","751.80K","1.49%"
"Nov 09, 2016","243.84","230.20","245.99","224.58","2.26M","-0.39%"
"Nov 10, 2016","258.14","248.00","262.72","246.83","2.09M","5.86%"
"Nov 11, 2016","243.10","252.00","257.09","242.00","4.43M","-5.83%"
"Nov 15, 2016","231.77","243.74","243.74","230.00","2.39M","-4.66%"
"Nov 16, 2016","235.88","233.60","239.78","226.68","1.84M","1.77%"
"Nov 17, 2016","234.91","240.00","241.72","233.21","1.27M","-0.41%"
"Nov 18, 2016","235.97","236.00","237.20","232.20","1.05M","0.45%"
"Nov 21, 2016","222.50","236.40","237.99","221.13","1.28M","-5.71%"
"Nov 22, 2016","226.34","224.80","227.98","219.10","1.35M","1.73%"
"Nov 23, 2016","225.14","227.20","229.00","223.88","730.83K","-0.53%"
"Nov 24, 2016","223.72","225.20","225.78","221.95","864.21K","-0.63%"
"Nov 25, 2016","233.50","226.20","234.42","224.81","1.19M","4.37%"
"Nov 28, 2016","229.79","228.20","235.00","227.00","1.62M","-1.59%"
"Nov 29, 2016","228.84","230.80","232.67","228.29","907.06K","-0.41%"
"Nov 30, 2016","234.28","229.80","235.34","229.12","1.24M","2.38%"
"Dec 01, 2016","232.32","235.40","236.95","231.45","860.88K","-0.84%"
"Dec 02, 2016","230.00","230.80","232.83","228.78","2.00M","-1.00%"
"Dec 05, 2016","236.64","234.00","237.60","230.02","702.76K","2.89%"
"Dec 06, 2016","238.60","236.80","241.19","235.43","1.38M","0.83%"
"Dec 07, 2016","237.93","238.60","243.98","235.12","1.72M","-0.28%"
"Dec 08, 2016","242.62","238.98","243.40","238.21","651.00K","1.97%"
"Dec 09, 2016","243.73","242.60","245.00","240.90","932.73K","0.46%"
"Dec 12, 2016","238.54","241.10","243.36","237.60","860.09K","-2.13%"
"Dec 13, 2016","241.33","239.00","241.88","236.19","803.55K","1.17%"
"Dec 14, 2016","239.47","240.00","242.00","238.97","502.60K","-0.77%"
"Dec 15, 2016","237.29","238.80","240.90","236.00","827.15K","-0.91%"
"Dec 16, 2016","236.26","238.02","239.17","234.60","1.17M","-0.43%"
"Dec 19, 2016","236.16","236.40","237.66","235.12","565.88K","-0.04%"
"Dec 20, 2016","229.59","236.42","236.77","228.66","1.15M","-2.78%"
"Dec 21, 2016","227.66","230.98","231.18","227.04","1.14M","-0.84%"
"Dec 22, 2016","225.37","227.00","227.00","223.01","870.94K","-1.01%"
"Dec 23, 2016","224.93","224.20","228.00","224.00","1.23M","-0.20%"
"Dec 26, 2016","220.30","224.80","224.80","218.25","818.91K","-2.06%"
"Dec 27, 2016","225.20","221.00","226.28","220.12","469.71K","2.22%"
"Dec 28, 2016","222.78","227.20","227.75","222.20","560.54K","-1.07%"
"Dec 29, 2016","229.77","222.39","231.00","221.25","734.40K","3.14%"
"Dec 30, 2016","231.26","229.60","232.30","229.10","748.23K","0.65%"
"Jan 02, 2017","228.81","231.98","232.39","226.30","744.23K","-1.06%"
"Jan 03, 2017","232.57","228.80","234.45","228.15","769.13K","1.64%"
"Jan 04, 2017","232.67","233.00","234.50","231.80","383.58K","0.04%"
"Jan 05, 2017","241.94","235.00","243.79","233.80","1.56M","3.98%"
"Jan 06, 2017","249.44","242.80","250.18","242.80","1.28M","3.10%"
"Jan 09, 2017","250.81","250.20","253.45","249.68","867.90K","0.55%"
"Jan 10, 2017","252.51","250.80","253.54","250.32","461.30K","0.68%"
"Jan 11, 2017","263.56","254.20","264.42","254.20","1.40M","4.38%"
"Jan 12, 2017","264.95","264.20","268.59","263.60","1.03M","0.53%"
"Jan 13, 2017","263.57","265.64","268.20","261.46","1.60M","-0.52%"
"Jan 16, 2017","265.93","263.20","267.20","262.31","570.02K","0.90%"
"Jan 17, 2017","264.98","266.60","267.15","263.20","498.78K","-0.36%"
"Jan 18, 2017","269.26","265.00","270.06","265.00","757.76K","1.62%"
"Jan 19, 2017","269.43","269.01","271.29","266.42","2.06M","0.06%"
"Jan 20, 2017","271.73","271.20","275.66","270.27","1.49M","0.85%"
"Jan 23, 2017","276.22","272.00","277.40","272.00","1.05M","1.65%"
"Jan 24, 2017","271.97","277.02","282.60","269.42","1.87M","-1.54%"
"Jan 25, 2017","281.20","272.60","282.00","272.60","1.27M","3.39%"
"Jan 27, 2017","279.87","281.30","284.31","278.20","1.41M","-0.47%"
"Jan 30, 2017","277.88","279.60","279.99","276.62","791.62K","-0.71%"
"Jan 31, 2017","279.10","277.00","279.98","276.48","774.52K","0.44%"
"Feb 01, 2017","282.56","280.40","283.20","276.47","1.08M","1.24%"
"Feb 02, 2017","277.75","284.00","284.00","277.14","655.09K","-1.70%"
"Feb 03, 2017","279.45","277.82","280.60","277.20","423.89K","0.61%"
"Feb 06, 2017","279.64","281.00","281.99","278.49","638.86K","0.07%"
"Feb 07, 2017","279.31","279.80","281.00","277.60","546.27K","-0.12%"
"Feb 08, 2017","282.19","279.20","284.34","275.61","915.57K","1.03%"
"Feb 09, 2017","281.42","282.20","284.10","279.02","1.04M","-0.27%"
"Feb 10, 2017","282.11","281.60","283.10","280.60","478.77K","0.25%"
"Feb 13, 2017","290.39","282.20","291.90","281.96","1.13M","2.94%"
"Feb 14, 2017","291.36","291.00","294.19","288.40","834.72K","0.33%"
"Feb 15, 2017","286.29","290.00","292.32","284.00","614.62K","-1.74%"
"Feb 16, 2017","287.24","286.30","289.20","285.35","431.40K","0.33%"
"Feb 17, 2017","288.12","287.24","291.64","287.03","460.14K","0.31%"
"Feb 20, 2017","285.82","287.20","287.94","284.91","322.83K","-0.80%"
"Feb 21, 2017","289.98","285.87","290.68","285.87","391.71K","1.46%"
"Feb 22, 2017","289.66","290.20","291.60","288.40","252.75K","-0.11%"
"Feb 23, 2017","288.92","289.00","291.00","288.00","337.55K","-0.26%"
"Feb 27, 2017","284.36","288.92","289.00","283.20","386.10K","-1.58%"
"Feb 28, 2017","290.56","285.00","291.80","285.00","502.66K","2.18%"
"Mar 01, 2017","290.74","290.60","293.30","288.75","409.53K","0.06%"
"Mar 02, 2017","285.28","291.00","292.08","283.90","395.23K","-1.88%"
"Mar 03, 2017","287.07","283.60","288.09","283.60","309.75K","0.63%"
"Mar 06, 2017","291.91","287.06","292.88","287.06","1.50M","1.69%"
"Mar 07, 2017","289.71","292.40","293.00","288.02","208.36K","-0.75%"
"Mar 08, 2017","294.23","289.80","295.33","289.80","567.41K","1.56%"
"Mar 09, 2017","293.07","294.82","295.94","292.42","693.72K","-0.39%"
"Mar 10, 2017","296.06","293.20","297.19","293.20","1.20M","1.02%"
"Mar 14, 2017","306.37","304.00","307.57","303.20","996.74K","3.48%"
"Mar 15, 2017","306.10","306.00","307.00","303.70","373.85K","-0.09%"
"Mar 16, 2017","305.74","306.40","309.32","304.00","1.18M","-0.12%"
"Mar 17, 2017","301.61","306.60","307.50","300.90","1.69M","-1.35%"
"Mar 20, 2017","302.66","303.02","304.69","301.50","901.74K","0.35%"
"Mar 21, 2017","297.36","305.00","305.00","294.20","888.81K","-1.75%"
"Mar 22, 2017","294.04","295.00","295.30","292.00","490.68K","-1.12%"
"Mar 23, 2017","303.21","295.25","304.08","292.50","1.53M","3.12%"
"Mar 24, 2017","305.78","308.00","308.78","305.02","1.33M","0.85%"
"Mar 27, 2017","305.57","308.00","308.35","304.06","557.59K","-0.07%"
"Mar 28, 2017","307.06","306.00","307.99","305.42","4.46M","0.49%"
"Mar 29, 2017","308.93","306.98","310.98","305.65","534.86K","0.61%"
"Mar 30, 2017","310.39","309.00","311.56","308.10","2.29M","0.47%"
"Mar 31, 2017","309.82","310.00","311.57","307.10","778.64K","-0.18%"
